,year,country,iso,ifs,pop,rgdpmad,rgdppc,cons,gdp,inv_gdp,cpi,ca,imports,exports,nmon,bmon,srate,lrate,stock,pdebt_gdp,revenue,expenditure,xrusd,crisis,tloan,mort,hloan,bloan,hp,drate,tdbtserv,pdebt,inv,bmon_gdp,nmon_gdp,tloan_gdp,bloan_gdp,hloan_gdp,mort_gdp,ca_gdp,cpi_gdp,tdbtserv_gdp,lrate_rdiff2,srate_rdiff2,drate_rdiff2,bmon_gdp_rdiff2,nmon_gdp_rdiff2,tloan_gdp_rdiff2,bloan_gdp_rdiff2,hloan_gdp_rdiff2,mort_gdp_rdiff2,ca_gdp_rdiff2,cpi_gdp_rdiff2,tdbtserv_gdp_rdiff2,inv_gdp_rdiff2,pdebt_gdp_rdiff2,stock_pdiff2,cpi_pdiff2,hp_pdiff2,cons_pdiff2,gdp_pdiff2,bmon_pdiff2,nmon_pdiff2,tloan_pdiff2,bloan_pdiff2,hloan_pdiff2,mort_pdiff2,ca_pdiff2,tdbtserv_pdiff2,inv_pdiff2,pdebt_pdiff2
888,1876,Spain,ESP,184,16574.727212284408,1589.1631525158348,8.566018070839469,12.344244528141141,8002.094238281251,0.058375957520641716,0.2995420824937686,-194.2,594.2896659180151,479.8821471539002,1850.0,1902.0,6.0,23.715415019762844,3.809533377952398,1.1082291961360395,679.0,729.0,4.792556,0,2848.8337328793887,2010.5904600558783,1764.2646533463633,4353.5709887670555,301.671983822038,17.715415019762844,675.6127429753491,8868.154465095264,467.1299133300781,0.23768777814450304,0.23118947926778688,0.3560110201215629,0.5440539512694051,0.22047536567443687,0.25125803323302626,-0.024268646958813086,3.743296111920153e-05,0.08442949093792004,0.3691115178173199,0.0,0.3691115178173199,0.010347953389299308,0.007833563256173515,-0.03846918223912249,0.07557765602891742,-0.0056070043261979285,-0.024805334188019723,0.0010870044963602853,-2.453331035846926e-06,-0.00766705436029444,0.011377268286105906,0.2083511988960114,0.31451994324452165,-0.03487877498936622,-0.020286887015971183,0.09920596484614051,0.028374619449115297,0.07518371961560204,0.06444188722669736,-0.07191109934978328,0.19427873038752724,0.0028701940479346124,-0.06402871658281424,-0.015712113532691446,-0.05723775704701301,0.27731973120974557,0.26647699058565655
889,1877,Spain,ESP,184,16634.488123966185,1762.1400512365922,9.498410215682517,13.434143094742304,8818.081054687498,0.05376465370169491,0.3024134091990306,-19.7,526.358883954752,595.905753450373,1828.0,1888.0,5.166666666666667,22.988505747126435,4.0165037089925075,1.2124047955840451,722.0,780.0,4.9762200000000005,0,2738.465660676081,1941.81937219674,1766.7892980795848,4707.678544578244,298.54862792806546,17.821839080459768,629.5323357876048,10691.083758551937,474.10107421875,0.21410553932211596,0.20730133786060806,0.3105512008443575,0.533866553888813,0.20035983873616114,0.22020883683809092,-0.0022340461465284347,3.429469601419396e-05,0.07139108065387528,5.393197829237874,-0.833333333333333,6.226531162571206,-0.020662556121405412,-0.02201307394982266,-0.07370000037925711,0.014537785663671143,-0.02840141485275488,-0.04979544985577025,0.008465561743154177,-5.136417264048373e-06,0.0037808986203947126,0.006265081355807001,0.20835119889601117,0.20079224149706335,-0.004129985871101085,-0.020494774604379793,0.20783297796520353,0.14502438864799902,0.04424778761061947,0.035107587768969425,-0.07459313657739775,0.17707753139749577,0.0028660809437018567,-0.06614634951588419,-0.7609223300970873,0.20905647673221223,0.29605039993552845,0.3826284417851218
890,1878,Spain,ESP,184,16732.148621423847,1690.0928213553952,9.110056211791083,12.524426630623392,8722.1591796875,0.06574347440981579,0.30099424772401606,-37.9,502.0353799275908,563.828296055792,1882.0,1951.0,4.333333333333333,19.672131147540984,4.436840805144607,1.3165803950320507,735.0,811.0,5.147265,0,2628.097588472773,1873.0482843376012,1769.3139428128063,5061.786100389433,295.425272034093,15.338797814207652,517.0028042897259,11483.423778325396,573.425048828125,0.22368314540091908,0.21577226019709364,0.3013127293747617,0.5803363589347825,0.20285274624811397,0.21474594142923098,-0.004345254336593969,3.450914406893456e-05,0.059274635286838365,-4.04328387222186,-1.666666666666667,-2.376617205555192,-0.014004632743583961,-0.015417219070693239,-0.05469829074680116,0.03628240766537738,-0.0176226194263229,-0.03651209180379528,0.019923392622219118,-2.9238170502669675e-06,-0.02515485565108168,0.007367516889174072,0.20835119889601117,0.16466778603981763,0.004847950639048011,-0.020706966914203265,0.014596446309167796,0.0899845615365947,0.02576235541535226,0.017297297297297298,-0.07748298605812698,0.16267452935755305,0.002861979611089424,-0.06840884727686142,-0.8048403707518023,-0.23476457532034792,0.22754940855808092,0.29490570146514
891,1879,Spain,ESP,184,16848.2801373817,1569.0337559981454,8.457515193678843,11.856510790734152,8494.409179687498,0.050481237659191054,0.30310648805892143,-96.0,574.2586634515828,572.2704404600804,1792.0,1868.0,4.0,19.2,5.501390189964598,1.4207559944800563,721.0,834.0,5.209739999999999,0,2517.7295162694654,1804.2771964784629,1771.8385875460278,5415.893656200622,292.30191614012045,15.2,483.4040671237373,12068.48276160743,428.80828857421875,0.21990934984235386,0.2109622884997313,0.29639842666045085,0.6375833258835157,0.20858879647368392,0.212407615210366,-0.011301551169628464,3.5683057131711244e-05,0.05690849791880656,-3.788505747126436,-1.166666666666667,-2.621839080459768,0.005803810520237901,0.0036609506391232505,-0.014152774183906647,0.10371677199470275,0.008228957737522774,-0.007801221627724925,-0.009067505023100029,1.3883611175172851e-06,-0.014482582735068722,-0.003283416042503859,0.20835119889601117,0.36969628028665663,0.002291825821237627,-0.020923599050839157,-0.11743453176597371,-0.03670547741540016,-0.01059322033898305,-0.019693654266958426,-0.0806057740932634,0.15043829031997466,0.002857889999634579,-0.07083160137736112,3.8730964467005076,-0.23212194252269364,-0.09553402872829851,0.12883623720127482
892,1880,Spain,ESP,184,16967.671868320238,1707.0855173352998,9.201651426924094,12.299016370824996,9010.895507812502,0.06093730306095365,0.3074299799944309,78.0,589.1983506066535,773.9968909270071,1880.0,1977.0,4.0,15.78,5.534286136619979,1.524931593928062,752.0,838.0,5.1434880000000005,0,2407.361444066157,1735.5061086193243,1774.3632322792494,5770.001212011812,289.178560246148,11.78,379.8816358736396,13740.999249447734,549.0996704101562,0.2194010571186769,0.20863631127117482,0.2671611763757509,0.6403360472895491,0.19691308491379858,0.19260084717602483,0.008656187382527466,3.411758351074954e-05,0.042158033632093486,-3.8921311475409848,-0.33333333333333304,-3.5587978142076526,-0.0042820882822421635,-0.007135948925918817,-0.03415155299901085,0.059999688354766545,-0.005939661334315394,-0.022145094253206155,0.013001441719121435,-3.9156055818502424e-07,-0.01711660165474488,-0.0048061713488621385,0.2083511988960114,0.24734836783029535,0.02138157894736846,-0.021144811833241243,-0.017997651025975683,0.03310376733291248,0.013326499231163505,-0.0010626992561105207,-0.08399084774279217,0.13991407332836356,0.0028538120591622205,-0.07343226379608166,-3.058047493403694,-0.2652232585168808,-0.042421199540691665,0.19659428361282297
893,1881,Spain,ESP,184,17094.463261028734,1719.0442434817144,9.266112186734839,12.600201056463847,9455.544921875,0.04912443384844251,0.3094795219468866,-17.8,669.6458626515014,798.4425350357475,1960.0,2065.0,4.541666666666667,11.95,6.84829645024328,1.4368287140689706,788.0,813.0,5.18949,0,2296.9933718628495,1666.7350207601858,1776.887877012471,6124.108767823001,286.0552043521755,7.408333333333332,274.4907079376105,13585.998450919042,464.49829101562494,0.21839037486065035,0.20728577952875288,0.2429255416627394,0.6476738060495209,0.18792019832740858,0.17627064696232,-0.001882493303883572,3.2729950997421516e-05,0.02902960222869736,-7.25,0.541666666666667,-7.791666666666667,-0.0015189749817035025,-0.0036765089709784315,-0.05347288499771144,0.010090480166005111,-0.020668598146275335,-0.03613696824804599,0.009419057865744892,-2.9531061342897286e-06,-0.0278788956901092,-0.0013568038107485414,0.01607271958891432,0.24483016360767357,0.021025725740078213,-0.021370752099177024,0.06272420941166672,0.11314921636761335,0.10546038543897217,0.09375,-0.08767269993866617,0.13076606679888325,0.002849745739783479,-0.07623117777397401,-0.8145833333333333,-0.432171289805576,0.0832306729892627,0.12574204390788635
894,1882,Spain,ESP,184,17201.33036561208,1725.5437579977713,9.301146323228684,12.33416132225363,9998.1220703125,0.05826381018622932,0.32075195513321875,-50.5,705.6791136290885,811.0814304577952,1968.0,2076.0,4.833333333333333,10.75,7.5240340211225805,1.1223106577104522,824.0,814.0,5.265945,0,2186.6252996595417,1597.9639329010474,1779.4125217456926,6478.216323634189,282.931848458203,5.916666666666667,235.06221971340074,11220.99895660181,582.5286865234376,0.20763899314295056,0.1968369645979416,0.2187036009644556,0.6479433115614788,0.17797467456706853,0.15982640756566616,-0.005050948532619944,3.208122014089325e-05,0.023510637103678976,-5.029999999999999,0.833333333333333,-5.863333333333332,-0.01176206397572635,-0.011799346673233235,-0.04845757541129528,0.0076072642719297034,-0.01893841034673005,-0.03277443961035867,-0.01370713591514741,-2.0363633698562843e-06,-0.01864739652841451,-0.0026734928747243272,-0.40262093621760986,0.35953108230826386,0.04333336371107718,-0.021601573030268287,0.0028575416414603023,0.10955920658985188,0.05007587253414264,0.04680851063829787,-0.09169214907495603,0.12274089477625016,0.0028456909918930357,-0.07925191103343225,-1.6474358974358974,-0.3812224716448528,0.06087968708542691,-0.18339279750322415
895,1883,Spain,ESP,184,17263.319232595797,1749.6511475763336,9.431091656056099,12.386963224553721,10156.205078125,0.06828793425432458,0.3057220408735227,-52.0,740.7687318931283,862.8514440497593,1997.0,2112.0,5.5,6.64,6.093060341613477,0.7339351982678578,810.0,874.0,5.274596,1,2076.2572274562335,1529.1928450419086,1781.9371664789142,6832.323879445379,279.8084925642305,1.1399999999999997,137.8634799030939,7453.996387662696,693.5462646484375,0.20795168901708605,0.19662856201094736,0.20443238507739392,0.6727240959481232,0.17545305089564897,0.1505673460981572,-0.005120022646254012,3.01019956294506e-05,0.013574310369138955,-5.31,0.958333333333333,-6.268333333333333,-0.010438685843564305,-0.010657217517805517,-0.038493156585345495,0.025050289898602363,-0.012467147431759612,-0.02570330086416281,-0.0032375293423704404,-2.6279553679709154e-06,-0.015455291859558407,0.01916350040588207,-0.7028935158011128,-0.1102808726399357,-0.012141291448707688,-0.021837434498322896,-0.016923367409342725,0.07410045238419338,0.022760290556900726,0.018877551020408164,-0.09609785866626168,0.11564378401367535,0.002841647766167749,-0.08252192100430285,1.9213483146067416,-0.4977480988739731,0.49310832367542073,-0.45134717815616554
896,1884,Spain,ESP,184,17335.969430374895,1754.5725742740904,9.457619473518111,12.647931123142133,9752.13671875,0.06910220020892857,0.2783949299706558,-56.4,650.5558997808153,750.7575940176333,2008.0,2128.0,4.5,6.56,6.811745398403969,0.7083574177931632,817.0,862.0,5.24682,0,1965.8891552529258,1460.4217571827703,1784.4618112121357,7186.431435256568,276.68513667025803,2.0599999999999996,128.96232858459192,6907.9983840596415,673.8941040039062,0.21820858970409931,0.2059035940440937,0.2015854793619944,0.736908396847999,0.18298162368675885,0.1497540281992645,-0.005783347960202632,2.8547070042137353e-05,0.01322400744614683,-4.19,-0.33333333333333304,-3.8566666666666674,0.010569596561148753,0.009066629446152108,-0.017118121602461206,0.08896508528652025,0.005006949119690324,-0.010072379366401651,-0.0007323994275826879,-3.5341500987559007e-06,-0.010286629657532145,0.010838390022699249,-0.41395323991728905,-0.09466844789895552,-0.13205539197717658,-0.022078503434609844,0.025439086832956433,-0.024603155455853672,0.025048169556840076,0.02032520325203252,-0.10094831722700028,0.10932254747940862,0.002837616013564655,-0.08607339182466661,0.1168316831683168,-0.4513693917217788,0.15684277803680766,-0.3843686813645624
897,1885,Spain,ESP,184,17373.394720697695,1688.9230634464795,9.103750901118346,11.96201664465592,9643.749023437504,0.05104340175828354,0.2749790409355164,-23.0,651.8247581052192,795.5743347646309,2118.0,2247.0,4.0,6.9,8.11204906758753,0.7131042682458308,814.0,907.0,5.2936890000000005,0,1855.521083049618,1391.6506693236317,1786.9864559453574,7540.538991067757,273.5617807762855,2.9000000000000004,128.03095473042364,6876.998590504847,492.24975585937506,0.23300067168266675,0.21962413111877535,0.19240661267107712,0.7819095014544396,0.18529997531067935,0.14430598161995503,-0.0023849645966628106,2.8513707715456537e-05,0.013276056274304322,0.2600000000000007,-1.5,1.7600000000000007,0.0250489826655807,0.02299556910782799,-0.012025772406316804,0.10918540550631639,0.009846924415030378,-0.006261364478202164,0.0027350580495912017,-1.5882879139940637e-06,-0.00029825409483463274,-0.01724453249604104,-0.02083093002202696,0.3313587282543491,-0.10055866384434062,-0.022324954223864595,-0.03430595313752626,-0.05045743471557627,0.06392045454545454,0.06059088632949424,-0.10631444962002835,0.10365654850657749,0.002833595685318469,-0.08994429719196564,-0.5576923076923077,-0.07132073830996911,-0.2902423660101475,-0.07740784502027037
898,1886,Spain,ESP,184,17430.484689939054,1649.4198172992237,8.890817748333808,11.811356903007011,9816.6943359375,0.04624794014700126,0.27292951007261723,31.4,665.9949330651372,859.0022759556524,2101.0,2245.0,4.0,6.45,8.797838177722639,0.6995225277425318,882.0,907.0,5.28649,0,1745.1530108463103,1322.8795814644932,1789.511100678579,7894.646546878946,270.43842488231303,2.45,112.56236919958701,6866.998835950794,454.00189208984375,0.22869205489890618,0.21402316585416564,0.17777399918194023,0.8042062100250779,0.1822926373623998,0.13475815138927388,0.0031986327500336986,2.7802588196462605e-05,0.011466422947235143,-0.10999999999999943,-0.5,0.39000000000000057,0.010483465194806862,0.008119571810071946,-0.023811480180054162,0.06729781317707884,-0.0006889863243590422,-0.014995876809990621,0.00898198071023633,-7.444818456747476e-07,-0.0017575844989116875,-0.022854260061927312,-0.008834890050631428,0.29156885102957947,-0.019631894512643036,-0.022576969124978974,-0.06614316697253572,0.0066198433276040865,0.0549812030075188,0.046314741035856574,-0.11228310803628,0.09854892765662254,0.0028295867329396233,-0.09417976351133192,-1.5567375886524824,-0.12716860470030572,-0.32630083956453176,-0.005935083627618466
899,1887,Spain,ESP,184,17515.661360655125,1613.0665025635303,8.69486357555559,11.363239173321276,8996.350585937498,0.048512119796189065,0.2630234350816002,6.5,650.1077236584937,797.2215018062954,2096.0,2253.0,4.0,5.93,9.43245581528271,0.7584186077221753,766.0,844.0,5.245245,0,1634.7849386430023,1254.1084936053546,1792.0357454118005,8248.754102690134,267.3150689883405,1.9299999999999997,96.94274686153003,6822.999685967293,436.4320373535156,0.2504348822867954,0.23298336141727613,0.18171645524779684,0.9169000278384041,0.19919585484062755,0.1394019143235363,0.0007225151952348735,2.9236681315281454e-05,0.010775785796194351,-0.9700000000000006,0.0,-0.9700000000000006,0.01743421060412864,0.01335923029850078,-0.010690157423280278,0.13499052638396447,0.013895879529948196,-0.004904067296418735,0.003107479791897684,7.229735998249171e-07,-0.0025002704781099706,-0.002531281962094477,0.045314339476344445,0.16277105040833548,-0.043478244062680506,-0.02283473872051398,-0.050056565637881016,-0.06713140666836236,0.0026702269692923898,-0.010387157695939566,-0.11896180885416167,0.09392101976547075,0.0028255891082128266,-0.09883383721945478,-1.2826086956521738,-0.24281790239205497,-0.1133930852000368,-0.007852103476087821
900,1888,Spain,ESP,184,17562.244573863005,1676.5972031302801,9.037311189097556,12.244243869099943,9408.9091796875,0.04297970281553502,0.2678056709192151,-15.2,721.2634527302425,859.3176764716834,2199.0,2354.0,3.5,5.49,7.807761561025247,0.7213375406928114,716.0,842.0,5.259786,0,1524.4168664396943,1185.3374057462163,1794.560390145022,8602.861658501324,264.191713094368,1.9900000000000002,83.69048596753923,6786.999408277799,404.3921203613282,0.2501884070771936,0.23371465894764176,0.162018448401085,0.9143314590679312,0.19072990884206037,0.12598032174709387,-0.0016154901391560504,2.8462988196056725e-05,0.008894812817219568,-0.96,-0.5,-0.45999999999999996,0.02149635217828741,0.01969149309347612,-0.01575555078085522,0.11012524904285337,0.008437271479660557,-0.008777829642180018,-0.004814122889189749,6.603999995941201e-07,-0.002571610130015575,-0.0032682373314662366,0.021815012950279655,-0.11253635230577495,-0.018773488993692418,-0.023098462397358625,0.036650062278849996,-0.04153996674391271,0.04855233853006682,0.046644455021418375,-0.12648526692772352,0.08970827350115668,0.0028216027631951333,-0.103971803364,-1.484076433121019,-0.25649676208266686,-0.10927216955011752,-0.011649838537058423
